reviewed,entry type,key,author,editor,translator,title,year,pages,abstract,doi,volume,issn,journal,number,keywords,publisher,isbn,url,booktitle,shorttitle,eprint,arxivid,archiveprefix,pmid,annote,edition,address,type,month,series,institution,howpublished,organization,school,qualityassured,urldate,date,tags,file
,book,2018SubramanianDeep, Vishnu Subramanian,,,"Deep Learning with PyTorch: A practical approach to building neural network models using PyTorch","2018","255","A practical approach to building neural network models using PyTorch", , , , , , ,"Packt Publishing","9781788624336","http://proxy2.hec.ca/login?url=http://proquestcombo.safaribooksonline.com/?uiCode=hecmontreal///////%5C%5C&xmlId=9781788624336","O'Reilly Media","Deep learning with PyTorch", , , , ,"OCLC: 1078352321", , , , , , , , , , , , ,"",""
,article,2012ZoranPlatform,Amit Zoran and Stephen Welch and  William D Hunt,,,"A platform for manipulation and examination of the acoustic guitar: The Chameleon Guitar","2012","338--347","A platform for manipulation and examination the acoustic guitar is presented, based on a novel guitar design - the Chameleon Guitar - featuring a replaceable acoustic resonator functioning as the soundboard of the instrument. The goal of the design process is to create a tone as sonically close to that of a traditional guitar as possible, while maintaining an easily replaceable soundboard. An iterative, data driven approach was used, each design step coming under examination from one or more measurement tools: finite-element method, acoustic impulse testing, and laser vibrometry. Ideal resonator geometry, bridge location, and piezoelectric sensor positions were determined. The finished instrument was then examined with laser vibrometry to confirm earlier results, evaluate the behavior and chosen sensor positions for various tonewoods, and examine the acoustic effects of adding sensors and wax finish. The conclusions drawn are diverse and point to the significance of attention to detail in each step of instrument construction. For example, when changing instrument material from one softwood to another, ideal locations for piezoelectric sensors are subject to change. We conclude that detailed acoustic analysis can significantly aid in the construction of new instruments by quantifying the impact of instrument geometry and material properties. \textcopyright2011 Elsevier Ltd. All rights reserved.","10.1016/j.apacoust.2011.10.004","73","0003682X","Applied Acoustics","4","Guitar resonator", , ,"https://linkinghub.elsevier.com/retrieve/pii/S0003682X11002738", ,"A platform for manipulation and examination of the", , , , , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/Acoustics/Guitar/2012 A platform for manipulation and examination of the acoustic guitar The Chameleon Guitar - Zoran et al..pdf"
,article,Tuohy2006,Daniel R Tuohy and Walter D Potter and  Artificial Intelligence Center,,,"An Evolved Neural Network/HC Hybrid for Tablature Creation in GA- based Guitar Arranging","2006","576--579","In this paper we describe a technique for creating guitar tablature using a neural network. Training data was parsed from an online repository of human-created tablatures. The contents of both the input layer and the set of training data have been optimized through genetic search in order to maximize the accuracy of the network. The output of the network is im- proved upon with a local heuristic hill-climber (HC). We implement this model in an existing system for generating guitar arrangements via genetic algorithm (GA). When compared to the original system for generating tablature, we note modest improvement in tablature quality and drastic improvements in execution time.", ,"2006", ,"Procs. of the International Computer Music Conference (ICMC06)","January 2006","GA,fingering_prediction,ga,guitar,music transcription", ,"","http://quod.lib.umich.edu/cgi/p/pod/dod-idx?c=icmc;idno=bbp2372.2006.119", , , , , , , , , , , , , , , , , , , ,"music transcription,ga",""
,book,2013O′learyEssential, Zina OLeary,,,"The Essential Guide to Doing Your Research Project | SAGE Publications Ltd","2017","1--415","The Essential Guide to Doing Your Research Project 2e is the ultimate companion to successfully completing your research project. Warm and pragmatic, it gives you the skills and the confidence needed to succeed no matter what happens along the way. The book guides you through every step of your research project, from getting started to analysing data and writing up. Each stage is clearly set out, highlighting best practice and providing practical tips and down-to-earth advice for actually doing research. Key features include: Fully developed companion website including podcasts, worksheets, examples of real projects and links to journal articles Chapter summaries Boxed definitions of key terms Full glossary Suggestions for further reading Bursting with real world examples and multidisciplinary case studies, this book addresses the key questions posed by anyone hoping to complete a research project. It is the must-have textbook every student needs. Available with Perusall―an eBook that makes it easier to prepare for class Perusall is an award-winning eBook platform featuring social annotation tools that allow students and instructors to collaboratively mark up and discuss their SAGE textbook. Backed by research and supported by technological innovations developed at Harvard University, this process of learning through collaborative annotation keeps your students engaged and makes teaching easier and more effective. Learn more.", , , , , , ,"SAGE Publications Ltd","9781446258972","https://uk.sagepub.com/en-gb/eur/the-essential-guide-to-doing-your-research-project/book249279","SAGE Publications Ltd", , , , , , ,"Second edi", , , , , , , , , , , ,"#corrupted author",""
,article,Bengio2007a,Yoshua Bengio and  Yann Lecun,,,"Scaling Learning Algorithms towards AI To appear in "" Large-Scale Kernel Machines "",","2007","1--41","One long-term goal of machine learning research is to produce methods that are applicable to highly complex tasks, such as perception (vision, audition), reasoning, intelligent control, and other artificially intelligent behaviors. We argue that in order to progress toward this goal, the Machine Learning community must endeavor to discover algorithms that can learn highly complex functions, with minimal need for prior knowledge, and with minimal human intervention. We present mathematical and empirical evidence suggesting that many popular approaches to non-parametric learning, particularly kernel methods, are fundamentally limited in their ability to learn complex high-dimensional functions. Our analysis focuses on two problems. First, kernel machines are shallow architectures, in which one large layer of simple template matchers is followed by a single layer of trainable coefficients. We argue that shallow architectures can be very inefficient in terms of required number of computational elements and examples. Second, we analyze a limitation of kernel machines with a local kernel, linked to the curse of dimensionality, that applies to supervised, unsupervised (manifold learning) and semi-supervised kernel machines. Using empirical results on invariant image recognition tasks, kernel methods are compared with deep architectures, in which lower-level features or concepts are progressively combined into more abstract and higher-level representations. We argue that deep architectures have the potential to generalize in non-local ways, i.e., beyond immediate neighbors, and that this is crucial in order to make progress on the kind of complex tasks required for artificial intelligence.", , , ,"New York","1", , , , , , , , , , , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/0 New PAPERS/rename manually/Scaling Learning Algorithms towards AI - Bengio and LeCun.pdf"
,article,Srivastava2014,Alekh Agarwal and Sah Negahban and   and  Martin J Wainwright,,,"Noisy matrix decomposition via convex relaxation: Optimal rates in high dimensions","2012","1171--1197","We analyze a class of estimators based on convex relaxation for solving high-dimensional matrix decomposition problems. The observations are noisy realizations of a linear transformation X of the sum of an (approximately) low rank matrix with a second matrix endowed with a complementary form of low-dimensional structure; this set-up includes many statistical models of interest, including factor analysis, multi-task regression and robust covariance estimation. We derive a general theorem that bounds the Frobenius norm error for an estimate of the pair obtained by solving a convex optimization problem that combines the nuclear norm with a general decomposable regularizer. Our results use a ""spikiness"" condition that is related to, but milder than, singular vector incoherence. We specialize our general result to two cases that have been studied in past work: low rank plus an entrywise sparse matrix, and low rank plus a columnwise sparse matrix. For both models, our theory yields nonasymptotic Frobenius error bounds for both deterministic and stochastic noise matrices, and applies to matrices that can be exactly or approximately low rank, and matrices that can be exactly or approximately sparse. Moreover, for the case of stochastic noise matrices and the identity observation operator, we establish matching lower bounds on the minimax error. The sharpness of our nonasymptotic predictions is confirmed by numerical simulations. \textcopyrightInstitute of Mathematical Statistics, 2012.","10.1214/12-AOS1000","40","00905364","Annals of Statistics","2","Composite regularizers,High-dimensional inference,Nuclear norm,seminal", ,"15324435", , , ,"1102.4807","1102.4807","arXiv", , , , , , , , , , , , , , ,"seminal",""
,article,Jing,Yongcheng Jing and Yezhou Yang and Zunlei Feng and Jingwen Ye and Yizhou Yu and  Mingli Song,,,"Neural Style Transfer: A Review","2020","3365--3385","The seminal work of Gatys et al. demonstrated the power of Convolutional Neural Networks (CNNs) in creating artistic imagery by separating and recombining image content and style. This process of using CNNs to render a content image in different styles is referred to as Neural Style Transfer (NST). Since then, NST has become a trending topic both in academic literature and industrial applications. It is receiving increasing attention and a variety of approaches are proposed to either improve or extend the original NST algorithm. In this paper, we aim to provide a comprehensive overview of the current progress towards NST. We first propose a taxonomy of current algorithms in the field of NST. Then, we present several evaluation methods and compare different NST algorithms both qualitatively and quantitatively. The review concludes with a discussion of various applications of NST and open problems for future research. A list of papers discussed in this review, corresponding codes, pre-trained models and more comparison results are publicly available at: https://osf.io/f8tu4/.","10.1109/TVCG.2019.2921336","26","19410506","IEEE Transactions on Visualization and Computer Graphics","11","Neural style transfer (NST),convolutional neural network (CNN)", , , , , ,"1705.04058","1705.04058","arXiv","31180860", , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/Artificial Intelligence/Neural Networks/2020 Neural Style Transfer A Review - Jing et al..pdf"
,misc,2017OliehoekGANGs,Frans A Oliehoek and Rahul Savani and Jose Gallego-Posada and Elise Van Der Pol and Edwin D De Jong and  Roderich Gross,,,"GANGs: Generative adversarial network games","2017", ,"Generative Adversarial Networks (GAN) have become one of the most successful frameworks for unsupervised generative modeling. As GANs are difficult to train much research has focused on this. However, very little of this research has directly exploited gametheoretic techniques. We introduce Generative Adversarial Network Games (GANGs), which explicitly model a finite zero-sum game between a generator (G) and classifier (C) that use mixed strategies. The size of these games precludes exact solution methods, therefore we define resource-bounded best responses (RBBRs), and a resourcebounded Nash Equilibrium (RB-NE) as a pair of mixed strategies such that neitherG orC can find a better RBBR. The RB-NE solution concept is richer than the notion of 'local Nash equilibria' in that it captures not only failures of escaping local optima of gradient descent, but applies to any approximate best response computations, including methods with random restarts. To validate our approach, we solve GANGs with the Parallel Nash Memory algorithm, which provably monotonically converges to an RB-NE. We compare our results to standard GAN setups, and demonstrate that our method deals well with typical GAN problems such as mode collapse, partial mode coverage and forgetting.", , ,"23318422", , ,"Adversarial learning,GANs,Game theory,game theory,gans", , , ,"arXiv","GANGs","1712.00679","1712.00679","arXiv", , , , , , , , , , , , , , ,"#corrupted author,gans,game theory","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/Game Theory/2017 GANGs_Generative Adversarial Network Games  2017OliehoekGANGs.pdf"
,article,SalihSecond, A Salih,,,"Second-Order Wave Equation", ,"24", , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"",""
,book,2014WhitePhysics, Larry Beach,,,"Physics and Music: The Science of Musical Sound , by H. E. White and D. H. White","1981","261--262","This foundational text is written for students who want to go beyond the perceptual stage of music to learn how musical sound is created and perceived. It surveys a wide range of topics related to acoustics, beginning with a brief history of the art and science of music. Succeeding chapters explore the general principles of sound, musical scales, the primary ways in which sound can be generated, the characteristics of instruments, the use of mechanical and electronic recording devices, hi-fi stereophonic and quadraphonic sound, the design of electronic musical instruments, and architectural acoustics.Comprehensive yet accessible, Physics and Music includes over 300 diagrams, photographs, and tables. Each chapter concludes with questions, problems, and projects, in addition to references for further study. 1980 edition.","10.1118/1.594956","8","1522-8541", ,"2", ,"Dover Publications","9780486779348", ,"Medical Physics","Physics and Music", , , , , ,"Reprint ed", , , , , , , , , , , ,"",""
,article,Marttunen2017,Mika Marttunen and Judit Lienert and  Valerie Belton,,,"Structuring problems for Multi-Criteria Decision Analysis in practice: A literature review of method combinations","2017","1--17","Structuring problems for Multi-Criteria Decision Analysis (MCDA) has attracted increasing attention over the past 20 years from both a conceptual and a practical perspective. This is reflected in a significant growth in the number of published applications which use a formal approach to problem structuring in combination with an analytic method for multi-criteria analysis. The problem structuring approaches (PSMs) include general methodologies such as Checkland's Soft Systems Method (SSM), Eden and Ackermann's Strategic Options Design and Analysis (SODA) and other methods that focus on a particular aspect. We carried out a literature review that covers eight PSMs (Cognitive and Causal Maps, DPSIR, Scenario Planning, SSM, Stakeholder Analysis, Strategic Choice Approach, SODA and SWOT) and seven MCDA methods (AHP, ANP, ELECTRE, MAUT, MAVT, PROMETHEE and TOPSIS). We first identified and analysed 333 articles published during 2000-2015, then selected 68 articles covering all PSM-MCDA combinations, which were studied in detail to understand the associated processes, benefits and challenges. The three PSMs most commonly combined with MCDA are SWOT, Scenario Planning and DPSIR. AHP was by far the most commonly applied MCDA method. Combining PSMs with MCDA produces a richer view of the decision situation and enables more effective support for different phases of the decision-making process. Some limitations and challenges in combining PSMs and MCDA are also identified, most importantly relating to building a value tree and assigning criteria weights.","10.1016/j.ejor.2017.04.041","263","03772217","European Journal of Operational Research","1","Multi-methodology,Multi-stakeholder decision-making,Multiple Criteria Decision Analysis,Problem structuring","Elsevier B.V.", ,"http://dx.doi.org/10.1016/j.ejor.2017.04.041", , , , , , , , , , , , , , , , , , , ,"",""
,article,Tomar2017,Shikha Tomar and  Parasuraman Sumathi,,,"Amplitude and frequency estimation of exponentially decaying sinusoids","2018","229--237","An online method for amplitude and frequency estimation of exponentially decaying sinusoids is proposed with a moving-window discrete Fourier transform (MWDFT) filter and frequency-locked loop. The tuned filter characteristics of MWDFT is modified into more flat characteristic around the center frequency with negative feedback, which increases the bandwidth of the filter. An adaptive sampling pulse adjustment mechanism is incorporated in the proposed structure for online estimation of frequency. Hence, the frequency error was exploited to achieve synchronization between in-phase component of MWDFT and input signal of estimation. The amplitude is estimated in online from the in-phase and quadrature-phase components of MWDFT. The performance of the proposed method is compared with the existing techniques and experimentally validated on single-link flexible manipulator system for the online estimation of frequency and amplitude of tip deflection signal. The experimental investigation prove that the proposed online technique performs well over the existing techniques.","10.1109/TIM.2017.2755998","67","00189456","IEEE Transactions on Instrumentation and Measurement","1","Exponentially decaying sinusoid,Single-link flexible manipulator (SLFM),Sinusoidal amplitude and frequency estimation,Vibration estimation", , , , , , , , , , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/0 New PAPERS/2018 Amplitude and Frequency Estimation of Exponentially Decaying Sinusoids - Tomar and Sumathi.pdf"
,book,2016HolecekDream, Andrew Holecek,,,"Dream Yoga: Illuminating your life through lucid dreaming and the Tibetan Yogas of Sleep","2016", ,"Lucid dreaming—becoming fully conscious in the dream state—has attracted legions of those seeking to explore their vast inner worlds. Yet our states of sleep offer much more than entertainment. Combining modern lucid dreaming principles with the time-tested insights of Tibetan dream yoga makes this astonishing yet elusive experience both easier to access and profoundly life-changing. With Dream Yoga, Andrew Holecek presents a practical guide for meditators, lucid dreamers ready to go deeper, and complete beginners. Topics include: meditations and techniques for dream induction and lucidity, enhancing dream recall, dream interpretation, working with nightmares, and more.", , , , , , ,"Sounds True", , , ,"Dream Yoga", , , , , , , , , , , , , , , , , ,"",""
,book,2009FlajoletAnalytic,Philippe Flajolet and  Robert Sedgewick,,,"Analytic combinatorics","2009","1--810","Analytic Combinatorics is a self-contained treatment of the mathematics underlying the analysis of discrete structures, which has emerged over the past several decades as an essential tool in the understanding of properties of computer programs and scientific models with applications in physics, biology and chemistry. Thorough treatment of a large number of classical applications is an essential aspect of the presentation. Written by the leaders in the field of analytic combinatorics, this text is certain to become the definitive reference on the topic. The text is complemented with exercises, examples, appendices and notes to aid understanding therefore, it can be used as the basis for an advanced undergraduate or a graduate course on the subject, or for self-study.","10.1017/CBO9780511801655", , , , ,"Combinatieleer,Combinatorial analysis","Cambridge University Press","9780511801655", ,"Analytic Combinatorics", , , , , ,"OCLC: ocn244767782", , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Non-Fiction/Mathematics/2009 Analytic combinatorics - Flajolet et al.pdf"
,article,bff09,E S Brunette and R C Flemmer and  C L Flemmer,,,"A review of artificial intelligence","2009","385--392","This paper reviews the field of artificial intelligence focusing on embodied artificial intelligence. It also considers models of artificial consciousness, agent-based artificial intelligence and the philosophical commentary on artificial intelligence. It concludes that there is almost no consensus nor formalism in the field and that the achievements of the field are meager. \textcopyright2009 IEEE.","10.1109/ICARA.2000.4804025","2009", ,"ICARA 2009 - Proceedings of the 4th International Conference on Autonomous Robots and Agents", ,"Artificial intelligence,Consciouness,Embodied intelligence,Machine intelligence", ,"9781424427130", , , , , , , , , , , , , , , , , , , , ,"",""
,article,2011ArnoldNefarious,Douglas N Arnold and  Kristine K Fowler,,,"Nefarious Numbers","2010","434--437","We investigate the journal impact factor, focusing on the applied mathematics category. We discuss impact factor manipulation and demonstrate that the impact factor gives an inaccurate view of journal quality, which is poorly correlated with expert opinion.", ,"58", , ,"3", , , ,"http://arxiv.org/abs/1010.0278", , ,"1010.0278","1010.0278","arXiv", , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/Bibliometry/2011ArnoldNefarious Nefarious Numbers.pdf"
,article,Masri, P Masri,,,"Using Digital Waveguides", , , , ,"44", , ,"0", , , , , , , , , , , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/Digital Waveguides/1998LairdEfficient Efficient and Accurate Synthesis of Circular Membranes Using Digital Waveguides.pdf"
,inproceedings,2016JackEffect,Robert H Jack and Tony Stockman and  Andrew McPherson,,,"Effect of latency on performer interaction and subjective quality assessment of a digital musical instrument","2016","116--123","When designing digital musical instruments the importance of low and consistent action-to-sound latency is widely accepted. This paper investigates the effects of latency (0-20ms) on instrument quality evaluation and performer interaction. We present findings from an experiment conducted with musicians who performed on an percussive digital musical instrument with variable amounts of latency. Three latency conditions were tested against a zero latency condition, 10ms, 20ms and 10ms ± 3ms jitter. The zero latency condition was significantly rated more positively than the 10ms with jitter and 20ms latency conditions in six quality measures, emphasising the importance of not only low, but stable latency in digital musical instruments. There was no significant difference in rating between the zero latency condition and 10ms condition. A quantitative analysis of timing accuracy in a metronome task under latency conditions showed no significant difference in mean synchronisation error. This suggests that the 20ms and 10ms with jitter latency conditions degrade subjective impressions of an instrument, but without significantly affecting the timing performance of our participants. These findings are discussed in terms of control intimacy and instrument transparency.","10.1145/2986416.2986428","04-06-Octo", , , ,"Control intimacy,Digital musical instruments,Effort,Interaction,Latency,Multisensory feedback,Perceived quality","ACM Press","9781450348225","http://dl.acm.org/citation.cfm?doid=2986416.2986428","ACM International Conference Proceeding Series", , , , , , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/DMI/2016 Effect of latency on performer interaction and subjective quality assessment of a digital musical instrument - Jack et al..pdf"
,article,SelesnickLeast, Ivan Selesnick,,,"Least Squares with Examples in Signal Processing 1 NYU-Poly","2013","1--25","These notes address (approximate) solutions to linear equations by least squares. We deal with the 'easy' case wherein the system matrix is full rank. If the system matrix is rank deficient, then other methods are needed, e.g., QR decomposition, singular value decomposition, or the pseudo-inverse, [2, 3]. In these notes, least squares is illustrated by applying it to several basic problems in signal processing: 1. Linear prediction 2. Smoothing 3. Deconvolution 4. System identification 5. Estimating missing data For the use of least squares in filter design, see [1].", , , , ,"2", , , ,"http://eeweb.poly.edu/iselesni/lecture_notes/", , , , , , , , , , , , , , , , , , , ,"",""
,report,1974Smithsmoothing, R E Smith,,,"A smoothing algorithm using cubic spline functions","1974", ,"Two algorithms are presented for smoothing arbitrary sets of data. They are the explicit variable algorithm and the parametric variable algorithm. The former would be used where large gradients are not encountered because of the smaller amount of calculation required. The latter would be used if the data being smoothed were double valued or experienced large gradients. Both algorithms use a least-squares technique to obtain a cubic spline fit to the data. The advantage of the spline fit is that the first and second derivatives are continuous. This method is best used in an interactive graphics environment so that the junction values for the spline curve can be manipulated to improve the fit.", , , , , ,"computer graphics,tesse", , ,"https://ntrs.nasa.gov/search.jsp?R=19740008165", , , , , , , , , , ,"feb", , , , , , , , ,"tesse,computer graphics","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/Computer Graphics/1974 A Smoothing Algorithm Using Cubic Spline Functions_1974Smithsmoothing.pdf"
,report,1992ChaigneNumerical,A Chaigne and  A Askenfelt,,,"Numerical simulations of piano strings","1992","24","Thefirst attempt to generate musical sounds by solving the equations of vibrating strings by means of Finite Difference Methods (FDM)was made by Hiller /& Ruiz (].AudioEng.Soc. 19, pp. 462-472, 19711. It is shown here how their numerical approach and the underlying physical model can be improved in order to simulate the motion of the piano string with a high d e g e e of realism. Starting from the fundamental equations of a damped, stlff string interacting with a nonlinear hammer, a numericalfinite difference scheme is derived,from which the time and spatial dependence of string displacement, velocity, and interactingforce between hammer and string, as well as theforce acting on the bridge, are computed in the time-domain. The strength of the model is illustrated by comparisons between measured and simulated piano tones. After this verification of the accuracy of the method, the model is used as a tool for systematically exploring the influence of string stiffness, relative strikin, position, and hammer-string mass ratio on string waveforms and spectra.", , , , , ,"piano", , , , , , , , , , , , ,"resreport", , ,"KTH", , , , , , ,"piano",""
,article,2017LouizosL,Christos Louizos and Max Welling and  Diederik P Kingma,,,"Learning sparse neural networks through L0regularization","2017","1--13","We propose a practical method for L0norm regularization for neural networks: pruning the network during training by encouraging weights to become exactly zero. Such regularization is interesting since (1) it can greatly speed up training and inference, and (2) it can improve generalization. AIC and BIC, well-known model selection criteria, are special cases of L0regularization. However, since the L0norm of weights is non-differentiable, we cannot incorporate it directly as a regularization term in the objective function. We propose a solution through the inclusion of a collection of non-negative stochastic gates, which collectively determine which weights to set to zero. We show that, somewhat surprisingly, for certain distributions over the gates, the expected L0regularized objective is differentiable with respect to the distribution parameters. We further propose the hard concrete distribution for the gates, which is obtained by ""stretching"" a binary concrete distribution and then transforming its samples with a hard-sigmoid. The parameters of the distribution over the gates can then be jointly optimized with the original network parameters. As a result our method allows for straightforward and efficient learning of model structures with stochastic gradient descent and allows for conditional computation in a principled way. We perform various experiments to demonstrate the effectiveness of the resulting approach and regularizer.", , ,"23318422","arXiv", , , , , , , ,"1712.01312","1712.01312","arXiv", , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/Artificial Intelligence/Neural Networks/LEARNING SPARSE NEURAL NETWORKS THROUGH L0 REGULARIZATION - Louizos et al..pdf"
,article,03,Julien Bensa and Stefan Bilbao and  Kronl and Richard -Martinet and  Julius O Smith,,,"The simulation of piano string vibration: From physical models to finite difference schemes and digital waveguides","2003","1095--1107","A model of transverse piano string vibration, second order in time, which models frequency-dependent loss and dispersion effects is presented here. This model has many desirable properties, in particular that it can be written as a well-posed initial-boundary value problem (permitting stable finite difference schemes) and that it may be directly related to a digital waveguide model, a digital filter-based algorithm which can be used for musical sound synthesis. Techniques for the extraction of model parameters from experimental data over the full range of the grand piano are discussed, as is the link between the model parameters and the filter responses in a digital waveguide. Simulations are performed. Finally, the waveguide model is extended to the case of several coupled strings.","10.1121/1.1587146","114","0001-4966","The Journal of the Acoustical Society of America","2", , , , , , , , , ,"12942987", , , , , , , , , , , , , ,"#corrupted author","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/Digital Waveguides/2003 the simulation of piano string vibration - bensa et al.pdf"
,article,2014LongFully,Evan Shelhamer and Jonathan Long and  Trevor Darrell,,,"Fully Convolutional Networks for Semantic Segmentation","2017","640--651","Convolutional networks are powerful visual models that yield hierarchies of features. We show that convolutional networks by themselves, trained end-to-end, pixels-to-pixels, improve on the previous best result in semantic segmentation. Our key insight is to build 'fully convolutional' networks that take input of arbitrary size and produce correspondingly-sized output with efficient inference and learning. We define and detail the space of fully convolutional networks, explain their application to spatially dense prediction tasks, and draw connections to prior models. We adapt contemporary classification networks (AlexNet, the VGG net, and GoogLeNet) into fully convolutional networks and transfer their learned representations by fine-tuning to the segmentation task. We then define a skip architecture that combines semantic information from a deep, coarse layer with appearance information from a shallow, fine layer to produce accurate and detailed segmentations. Our fully convolutional networks achieve improved segmentation of PASCAL VOC (30% relative improvement to 67.2% mean IU on 2012), NYUDv2, SIFT Flow, and PASCAL-Context, while inference takes one tenth of a second for a typical image.","10.1109/TPAMI.2016.2572683","39","01628828","IEEE Transactions on Pattern Analysis and Machine Intelligence","4","Convolutional Networks,Deep Learning,Semantic Segmentation,Transfer Learning", , ,"http://arxiv.org/abs/1411.4038", , ,"1411.4038","1411.4038","arXiv","27244717", , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Articles/Artificial Intelligence/Neural Networks/Fully Convolutional Networks for Semantic Segmentation - Long et al..pdf"
,article,ChenAccelerator,Yu-Hsin Chen and Tushar Krishna and Joel Emer and  Vivienne Sze,,,"Accelerator for Deep Convolutional Neural Networks", ,"4", , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"#corrupted author",""
,article,2011MokhatabRafieiFinancial,F Mokhatab Rafiei and S M Manzari and  S Bostanian,,,"Financial health prediction models using artificial neural networks, genetic algorithm and multivariate discriminant analysis: Iranian evidence","2011","10210--10217","The purpose of this study is to design a model to predict financial health of companies. Financial ratios for 180 manufacturing companies quoted in Tehran Stock Exchange for one year (year ended March 21, 2008) have been used. Three models; based on artificial neural networks (ANN), genetic algorithm (GA), and multiple discriminant analysis (MDA) are utilized to classify the bankrupt from non bankrupt corporations. ANN model achieved 98.6% and 96.3% accuracy rates in training and holdout samples, respectively. To evaluate the reliability of the model, the data were examined with genetic algorithm and Multivariate discriminate analysis method. GA model attained only 92.5% and 91.5% accuracy rates and MDA reached 80.6% and 79.9 in training and holdout samples, respectively. \textcopyright2011 Published by Elsevier Ltd.","10.1016/j.eswa.2011.02.082","38","09574174","Expert Systems with Applications","8","Artificial neural networks,Discriminant analysis,Financial health prediction,Financial ratios,Genetic algorithm,Iranian company", , ,"https://linkinghub.elsevier.com/retrieve/pii/S0957417411002880", ,"Financial health prediction models using artificia", , , , , , , , , , , , , , , , , ,"",""
,article,2014BornmannDo, Lutz Bornmann,,,"Do altmetrics point to the broader impact of research? An overview of benefits and disadvantages of altmetrics", ,"895--903", ,"10.1016/j.joi.2014.09.005","8","1751-1577", ,"4","bibliometry", , ,"https://linkinghub.elsevier.com/retrieve/pii/S1751157714000868", ,"Do altmetrics point to the broader impact of resea", , , , , , , , , , , , , , , , , ,"bibliometry",""
,book,1995BaxterProduct, K L Edwards,,,"Product design: Practical methods for the systematic development of new products","1995","301","The discovery of market needs and the manufacture of a product to meet those needs are integral parts of the same process. Since most textbooks on new product development are written from either a marketing or an engineering perspective, it is important for students to encounter these two aspects of product development together in a single text.Product Design: Practical Methods for the Systematic Development of New Products covers the entire new product development process, from market research through concept design, embodiment design, design for manufacture, and product launch. Systematic and practical in its approach, the text offers both a structured management framework for product development and an extensive range of specific design methods. Chapters feature ""Design Toolkits"" that provide detailed guidance on systematic design methods, present examples with familiar products, and conclude with reviews of key concepts.This major text aims to turn the often haphazard and unstructured product design process into a quality-controlled, streamlined, and manageable procedure. It is ideal for students of engineering, design, and technology on their path to designing new products.","10.1016/0261-3069(96)84967-3","16","02613069", ,"5", ,"Routledge","9780748741977", ,"Materials & Design","Product Design", , , , , ,"1 edition", , , , , , , , , , , ,"",""
,misc,farnum_review_nodate, Larissa Farnum,,,"Review of differentiation and integration rules from Calculus I and II for Ordinary Differential Equations, 3301 General Notation:", ,"2--3","Review of differentiation and integration rules from Calculus I and II for Ordinary Differential Equations, 3301", ,"2", , , , , , ,"https://www.academia.edu/8924647/Review///////%5C%5C_of///////%5C%5C_differentiation///////%5C%5C_and///////%5C%5C_integration///////%5C%5C_rules///////%5C%5C_from///////%5C%5C_Calculus///////%5C%5C_I///////%5C%5C_and///////%5C%5C_II///////%5C%5C_for/////", , , , , , , , , , , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/0 New PAPERS/review of differentiation and integration rules from calculus i and ii for - farnum.pdf"
,book,ck16,Antoine Chaigne and  Jean Kergomard,,,"Acoustics of Musical Instruments","2016","XXV, 844","This book, the first English-language translation of Acoustique des instruments de musique, Second Edition, presents the necessary foundations for understanding the complex physical phenomena involved in musical instruments. What is the function of the labium in a flute? Which features of an instrument allow us to make a clear audible distinction between a clarinet and a trumpet? With the help of numerous examples, these questions are addressed in detail. The authors focus in particular on the significant results obtained in the field during the last fifteen years. Their goal is to show that elementary physical models can be used with benefit for various applications in sound synthesis, instrument making, and sound recording. The book is primarily addressed to graduate students and researchers; however it could also be of interest for engineers, musicians, craftsmen, and music lovers who wish to learn about the basics of musical acoustics.", , , , , , ,"Springer","9781493936793", , , , , , , , , ,"Traducao. [s.l.]", , , , , , , , , , ,"","C:/Users/tesse/Desktop/Files/Dropbox/BIBrep/Non-Fiction/Acoustics/2016 Acoustics of Musical Instruments - Chaigne et al.pdf"
